"id, ten, soVanDongVien, quangDuong, thoiGian, updatedate"
2663.0,VKL RUNNERS,72.0,1617489.1,598040.0,2020-11-01 09:00
2685.0,VRC,135.0,1389281.5,542791.0,2020-11-01 09:00
2658.0,K39NEU RUNNERS AND FRIENDS,74.0,1187811.0,499538.0,2020-11-01 09:00
2682.0,3T.91-94 PTTH HÀ NỘI,186.0,1185681.1,561193.0,2020-11-01 09:00
2667.0,THAINGUYEN Runners,117.0,1098430.3,455489.0,2020-11-01 09:00
2662.0,NRF - NEU Runners and Friends,80.0,618087.7,263236.0,2020-11-01 09:00
2644.0,Hoà Khánh Runners,56.0,543886.0,214381.0,2020-11-01 09:00
2761.0,Greenstar_runners,34.0,523300.8,189485.0,2020-11-01 09:00
2794.0,Bodyvine Việt nam,43.0,517589.0,193998.0,2020-11-01 09:00
2678.0,88 Runners,35.0,444189.5,182974.0,2020-11-01 09:00
2726.0,CÙNG RÈN LUYỆN,47.0,387806.9,174907.0,2020-11-01 09:00
2843.0,Doctor Run,80.0,374837.5,152944.0,2020-11-01 09:00
2654.0,HTR - Hà Tĩnh Runners ,58.0,362697.0,134645.0,2020-11-01 09:00
2634.0,Son Tra Runners,50.0,357359.2,135393.0,2020-11-01 09:00
2748.0,An Bình City,24.0,357308.1,141878.0,2020-11-01 09:00
2754.0,PHÂN BÓN CÀ MAU,147.0,347460.8,164173.0,2020-11-01 09:00
2795.0,HAI DUONG RUNNERS,16.0,320727.4,115580.0,2020-11-01 09:00
2671.0,TOTO Runners & Friends,31.0,316186.1,126994.0,2020-11-01 09:00
2648.0,C2K runners,31.0,310997.7,143021.0,2020-11-01 09:00
2681.0,KPMG ,22.0,292514.7,130738.0,2020-11-01 09:00
