"id, ten, soVanDongVien, quangDuong, thoiGian, updatedate"
790.0,VRC,141.0,2201082.5,889492.0,2020-11-02 00:00
787.0,3T.91-94 PTTH HÀ NỘI,212.0,2119988.6,1084157.0,2020-11-02 00:00
771.0,VKL RUNNERS,73.0,1853286.1,699596.0,2020-11-02 00:00
770.0,THAINGUYEN Runners,124.0,1630318.5,682249.0,2020-11-02 00:00
765.0,K39NEU RUNNERS AND FRIENDS,82.0,1366470.3,585392.0,2020-11-02 00:00
769.0,NRF - NEU Runners and Friends,84.0,898758.1,397731.0,2020-11-02 00:00
908.0,Doctor Run,87.0,867376.4,386010.0,2020-11-02 00:00
838.0,PHÂN BÓN CÀ MAU,168.0,777872.9,370898.0,2020-11-02 00:00
751.0,HTR - Hà Tĩnh Runners ,68.0,751126.2,279363.0,2020-11-02 00:00
845.0,Greenstar_runners,38.0,721546.1,278911.0,2020-11-02 00:00
746.0,Hoà Khánh Runners,57.0,717013.7,287321.0,2020-11-02 00:00
811.0,CÙNG RÈN LUYỆN,53.0,608211.8,279745.0,2020-11-02 00:00
880.0,Bodyvine Việt nam,42.0,574703.7,217348.0,2020-11-02 00:00
782.0,88 Runners,36.0,533262.1,223316.0,2020-11-02 00:00
734.0,Son Tra Runners,52.0,510876.0,197869.0,2020-11-02 00:00
946.0,NDR,16.0,498929.8,196856.0,2020-11-02 00:00
795.0,Bắc Kạn Alpha Runners,31.0,490378.2,188238.0,2020-11-02 00:00
816.0,PVFCCo RUNNERS,67.0,462273.1,224065.0,2020-11-02 00:00
854.0,Tân Tây Đô - Lideco Running Club,29.0,456697.0,200066.0,2020-11-02 00:00
809.0,CON NHÀ GIA GIÁO,30.0,452061.9,198199.0,2020-11-02 00:00
